package_id,package_type,package_category,weight,weight_unit,length_cm,width_cm,height_cm,fragile_flag,insured_flag,item_description
PKG00223,Spare Parts,Large,16.39,KG,90,28,4,Yes,No,Customer document
PKG00224,Cargo,Cargo,117.79 kg,KG,25,73,36,No,Yes,Customer document
PKG00225,Parcel,Medium,6.76,KG,18,10,15,Yes,1,Office supplies
PKG00226,Clothing,Small,2.09,KG,50,17,40,N,No,Household goods
PKG00227,Fragile Goods,Medium,3.7,KG,13,57,42,Yes,Yes,Vehicle spare part
PKG00228,Fragile Goods,Medium,6.39,KG,115,75,20,Yes,1,Household goods
PKG00229,Fragile Goods,Medium,6.41,KG,113,48,11,N,0,Electronic accessory
PKG00230,Cargo,Cargo,103.79,KG,52,45,5,0,0,Electronic accessory
PKG00231,Fragile Goods,Medium,3.63 kg,KG,115,49,21,1,No,Customer document
PKG00232,Spare Parts,Large,32.69,KG,50,24,35,Y,No,Vehicle spare part
PKG00233,Electronics,Medium,5.79,KG,86,68,25,No,Yes,Household goods
PKG00234,Food,Small,1.76,KG,88,52,56,1,N,Electronic accessory
PKG00235,Parcel,Medium,13.43,KG,25,42,37,Yes,Yes,Food product
PKG00236,Parcel,Medium,8.36,KG,80,13,38,N,Yes,Food product
PKG00237,Document,Small,0.5,KG,103,27,33,1,No,Food product
PKG00238,Electronics,Medium,8.64 kg,KG,70,63,63,0,0,Fashion item
PKG00239,Fragile Goods,Medium,7.72,KG,21,76,15,1,Y,Household goods
PKG00240,Cargo,Cargo,108.17,KG,68,39,62,Yes,1,Office supplies
PKG00241,Cargo,Cargo,43.4,KG,37,46,10,1,No,Food product
PKG00242,Fragile Goods,Medium,3.12,KG,55,62,27,Y,Y,Fashion item
PKG00243,Clothing,Small,2.25,KG,103,61,47,Yes,No,Electronic accessory
PKG00244,Food,Small,0.14,KG,79,22,5,Yes,Y,Office supplies
PKG00245,Fragile Goods,Medium,9.15 kg,KG,45,28,47,Y,1,Household goods
PKG00246,Electronics,Medium,7.85,KG,105,58,69,Y,Y,Vehicle spare part
PKG00247,Fragile Goods,Medium,11.14,KG,14,30,46,Yes,N,Fashion item
PKG00248,Fragile Goods,Medium,14.11,KG,105,73,16,Yes,Y,Household goods
PKG00249,Cargo,Cargo,91.84,KG,120,58,12,Y,No,Household goods
PKG00250,Cargo,Cargo,82.79,KG,25,59,60,No,0,Fashion item
PKG00251,Food,Small,0.46,KG,63,58,49,Yes,Yes,Office supplies
PKG00252,Electronics,Medium,3.77 kg,KG,106,19,39,Yes,0,Fashion item
PKG00253,Electronics,Medium,5.57,KG,75,78,56,0,Yes,Customer document
PKG00254,Food,Small,0.7,KG,52,69,31,1,No,Household goods
PKG00255,Fragile Goods,Medium,4.58,KG,82,44,21,No,1,Office supplies
PKG00256,Food,Small,1.43,KG,118,78,30,Yes,0,Fashion item
PKG00257,Parcel,Medium,6.84,KG,83,45,24,1,0,Household goods
PKG00258,Electronics,Medium,14.48,KG,29,46,34,Y,Y,Customer document
PKG00259,Spare Parts,Large,22.92 kg,KG,49,68,44,0,0,Office supplies
PKG00260,Parcel,Medium,9.44,KG,82,77,57,No,No,Customer document
PKG00261,Food,Small,0.18,KG,118,28,64,No,0,Fashion item
PKG00262,Fragile Goods,Medium,5.63,KG,108,69,10,1,0,Household goods
PKG00263,Clothing,Small,1.53,KG,88,58,26,Yes,0,Household goods
PKG00264,Fragile Goods,Medium,8.84,KG,61,58,26,Yes,1,Food product
PKG00265,Spare Parts,Large,17.29,KG,48,23,7,No,No,Customer document
PKG00266,Cargo,Cargo,61.31 kg,KG,34,56,65,0,1,Electronic accessory
PKG00267,Document,Small,2.88,KG,24,49,64,0,1,Vehicle spare part
PKG00268,Document,Small,1.17,KG,89,50,8,No,0,Household goods
PKG00269,Electronics,Medium,4.64,KG,119,27,55,No,No,Food product
PKG00270,Cargo,Cargo,57.11,KG,59,37,25,N,Y,Household goods
PKG00271,Document,Small,0.24,KG,43,69,3,N,0,Food product
PKG00272,Cargo,Cargo,110.41,KG,41,61,15,Y,N,Electronic accessory
PKG00273,Cargo,Cargo,41.49 kg,KG,18,63,31,No,Yes,Household goods
PKG00274,Clothing,Small,1.35,KG,24,28,18,0,0,Electronic accessory
PKG00275,Parcel,Medium,11.47,KG,104,37,12,N,N,Vehicle spare part
PKG00276,Parcel,Medium,9.0,KG,102,59,12,Y,Y,Vehicle spare part
PKG00277,Food,Small,0.22,KG,84,75,36,Yes,No,Office supplies
PKG00278,Document,Small,2.44,KG,99,59,3,N,1,Fashion item
PKG00279,Food,Small,2.91,KG,57,23,36,Y,Yes,Office supplies
PKG00280,Spare Parts,Large,39.2 kg,KG,61,57,66,0,Yes,Fashion item
PKG00281,Fragile Goods,Medium,11.68,KG,77,66,48,N,Y,Vehicle spare part
PKG00282,Parcel,Medium,6.32,KG,41,45,50,Yes,1,Food product
PKG00283,Parcel,Medium,13.49,KG,22,41,61,Y,1,Office supplies
PKG00284,Document,Small,0.62,KG,48,38,21,0,Y,Office supplies
PKG00285,Parcel,Medium,10.98,KG,92,61,7,N,No,Office supplies
PKG00286,Spare Parts,Large,32.74,KG,84,52,60,1,1,Customer document
PKG00287,Document,Small,1.32 kg,KG,80,19,38,1,No,Food product
PKG00288,Electronics,Medium,3.96,KG,113,44,62,No,Yes,Vehicle spare part
PKG00289,Clothing,Small,0.2,KG,106,60,18,1,1,Fashion item
PKG00290,Clothing,Small,0.87,KG,82,53,46,N,N,Vehicle spare part
PKG00291,Parcel,Medium,12.97,KG,71,42,17,Y,No,Fashion item
PKG00292,Electronics,Medium,5.03,KG,96,72,54,Yes,0,Office supplies
PKG00293,Clothing,Small,2.06,KG,76,70,14,0,No,Customer document
PKG00294,Document,Small,1.34 kg,KG,21,21,68,Yes,N,Vehicle spare part
PKG00295,Parcel,Medium,14.67,KG,66,49,65,No,1,Food product
PKG00296,Document,Small,1.86,KG,50,70,33,1,1,Customer document
PKG00297,Electronics,Medium,4.73,KG,27,27,66,N,N,Vehicle spare part
PKG00298,Fragile Goods,Medium,11.35,KG,96,30,51,N,Yes,Household goods
PKG00299,Parcel,Medium,10.11,KG,65,35,9,Yes,Y,Food product
PKG00300,Food,Small,0.5,KG,37,35,32,1,Yes,Office supplies
PKG00301,Document,Small,1.18 kg,KG,93,45,58,Y,Yes,Customer document
PKG00302,Clothing,Small,2.15,KG,15,36,17,0,No,Customer document
PKG00303,Cargo,Cargo,65.85,KG,86,34,63,Yes,1,Customer document
PKG00304,Food,Small,1.71,KG,28,23,47,1,1,Household goods
PKG00305,Electronics,Medium,6.35,KG,38,78,22,N,1,Customer document
PKG00306,Electronics,Medium,6.06,KG,64,78,27,0,Yes,Customer document
PKG00307,Fragile Goods,Medium,10.07,KG,92,36,70,N,Y,Food product
PKG00308,Food,Small,1.31 kg,KG,80,78,15,N,Y,Food product
PKG00309,Clothing,Small,1.15,KG,65,20,55,0,1,Household goods
PKG00310,Clothing,Small,1.63,KG,34,80,69,Y,Y,Household goods
PKG00311,Fragile Goods,Medium,9.99,KG,46,35,67,Yes,Y,Customer document
PKG00312,Parcel,Medium,11.3,KG,34,80,54,1,0,Vehicle spare part
PKG00313,Document,Small,2.51,KG,92,15,4,N,Y,Household goods
PKG00314,Cargo,Cargo,109.41,KG,76,78,55,1,Y,Food product
PKG00315,Cargo,Cargo,64.48 kg,KG,118,40,11,1,N,Fashion item
PKG00316,Electronics,Medium,13.28,KG,45,47,40,Y,Yes,Electronic accessory
PKG00317,Electronics,Medium,7.21,KG,120,18,45,1,Y,Office supplies
PKG00318,Parcel,Medium,3.16,KG,86,78,40,No,Yes,Vehicle spare part
PKG00319,Food,Small,2.84,KG,15,58,6,1,N,Vehicle spare part
PKG00320,Electronics,Medium,6.76,KG,120,67,46,Yes,No,Vehicle spare part
PKG00321,Fragile Goods,Medium,4.84,KG,42,16,56,No,N,Electronic accessory
PKG00322,Clothing,Small,0.41 kg,KG,112,65,33,No,N,Vehicle spare part
PKG00323,Food,Small,2.37,KG,70,34,13,1,Yes,Customer document
PKG00324,Electronics,Medium,4.69,KG,58,41,19,0,No,Household goods
PKG00325,Fragile Goods,Medium,4.8,KG,34,35,64,1,Yes,Household goods
PKG00326,Parcel,Medium,7.57,KG,84,72,36,Y,Y,Office supplies
PKG00327,Cargo,Cargo,86.07,KG,44,54,28,N,Y,Office supplies
PKG00328,Electronics,Medium,13.59,KG,18,57,67,0,1,Household goods
PKG00329,Clothing,Small,2.04 kg,KG,60,46,12,Y,Yes,Office supplies
PKG00330,Document,Small,1.9,KG,87,37,35,No,Y,Electronic accessory
PKG00331,Spare Parts,Large,30.63,KG,105,42,9,Y,0,Customer document
PKG00332,Parcel,Medium,5.73,KG,40,63,6,0,N,Fashion item
PKG00333,Food,Small,0.9,KG,108,26,67,0,Yes,Fashion item
PKG00334,Document,Small,1.3,KG,84,49,51,Yes,Yes,Vehicle spare part
PKG00335,Electronics,Medium,10.9,KG,45,13,6,Y,N,Customer document
PKG00336,Clothing,Small,1.0 kg,KG,38,9,39,Yes,0,Customer document
PKG00337,Clothing,Small,0.59,KG,12,43,50,Y,Y,Household goods
PKG00338,Document,Small,2.06,KG,35,22,37,0,0,Electronic accessory
PKG00339,Cargo,Cargo,96.46,KG,35,21,49,1,0,Fashion item
PKG00340,Electronics,Medium,7.73,KG,11,10,3,No,Yes,Office supplies
PKG00341,Document,Small,2.98,KG,83,32,47,N,N,Fashion item
PKG00342,Fragile Goods,Medium,13.04,KG,116,65,48,Y,No,Food product
PKG00343,Fragile Goods,Medium,11.28 kg,KG,84,75,15,Yes,Yes,Office supplies
PKG00344,Clothing,Small,0.97,KG,25,25,56,Yes,0,Electronic accessory
PKG00345,Document,Small,2.61,KG,45,36,51,No,Y,Fashion item
PKG00346,Cargo,Cargo,97.13,KG,118,25,43,0,0,Household goods
PKG00347,Spare Parts,Large,32.98,KG,116,14,61,1,0,Office supplies
PKG00348,Fragile Goods,Medium,8.52,KG,102,35,14,Yes,0,Office supplies
PKG00349,Electronics,Medium,13.05,KG,88,16,64,Yes,N,Vehicle spare part
PKG00350,Fragile Goods,Medium,11.53 kg,KG,59,71,50,Yes,1,Office supplies
PKG00351,Spare Parts,Large,27.39,KG,120,66,37,No,0,Food product
