branch_id,branch_name,branch_type,address,city,province,region,manager_name,opening_date,is_active
BR016,LDR Pekanbaru,Main Branch,Jl. Merdeka No. 12,Pekanbaru,Riau,Sumatra,Gita Gunawan,28/04/2020,Y
BR017,LDR Batam,Sorting Center,Jl. Thamrin No. 77,Batam,Kepulauan Riau,Sumatra,Utami Gunawan,2023/09/06,Active
BR018,LDR Makassar,Warehouse,Jl. Merdeka No. 24,Makassar,Sulawesi Selatan,Sulawesi,Tono Pratama,17-06-2020,Y
BR019,LDR Manado,Main Branch,Jl. Sudirman No. 39,Manado,Sulawesi Utara,Sulawesi,Hendra Lestari,Dec 02 2023,Y
BR020,LDR Balikpapan,Sorting Center,Jl. Pemuda No. 29,Balikpapan,Kalimantan Timur,Kalimantan,Budi Hartono,2018-06-05,True
BR021,LDR Banjarmasin,Main Branch,Jl. Merdeka No. 4,Banjarmasin,Kalimantan Selatan,Kalimantan,Tono Maulana,07/09/2016,True
BR022,LDR Pontianak,Main Branch,Jl. Diponegoro No. 45,Pontianak,Kalimantan Barat,Kalimantan,Indra Saputra,2021/08/24,Y
BR023,LDR Mataram,Sorting Center,Jl. Sudirman No. 32,Mataram,Nusa Tenggara Barat,Bali Nusra,Andi Santoso,12-01-2021,Y
BR024,LDR Kupang,Sorting Center,Jl. Sudirman No. 49,Kupang,Nusa Tenggara Timur,Bali Nusra,Nadia Santoso,May 25 2017,Yes
BR025,LDR Jakarta,Sorting Center,Jl. Merdeka No. 43,Jakarta,DKI Jakarta,Jabodetabek,Kartika Wulandari,2018-02-04,True
BR026,LDR Jakarta Pusat,Outlet,Jl. Sudirman No. 26,Jakarta Pusat,DKI Jakarta,Jabodetabek,Hendra Wijaya,02/07/2017,Yes
BR027,LDR Bandung,Sorting Center,Jl. Thamrin No. 108,Bandung,Jawa Barat,West Java,Citra Hartono,2019/01/03,Active
BR028,LDR Bogor,Warehouse,Jl. Sudirman No. 2,Bogor,Jawa Barat,Jabodetabek,Gita Hartono,05-08-2017,Y
BR029,LDR Tangerang,Sorting Center,Jl. Thamrin No. 93,Tangerang,Banten,Jabodetabek,Rani Hartono,Mar 17 2019,Active
BR030,LDR Bekasi,Sorting Center,Jl. Diponegoro No. 79,Bekasi,Jawa Barat,Jabodetabek,Nadia Gunawan,2022-02-24,True
BR031,LDR Surabaya,Main Branch,Jl. Sudirman No. 79,Surabaya,Jawa Timur,East Java,Eka Maulana,13/06/2022,Yes
BR032,LDR Malang,Main Branch,Jl. Merdeka No. 116,Malang,Jawa Timur,East Java,Hendra Saputra,2023/04/01,Y
BR033,LDR Semarang,Main Branch,Jl. Thamrin No. 22,Semarang,Jawa Tengah,Central Java,Rani Hartono,06-11-2022,1
BR034,LDR Yogyakarta,Main Branch,Jl. Thamrin No. 59,Yogyakarta,DI Yogyakarta,Central Java,Putra Wulandari,May 02 2019,1
BR035,LDR Solo,Main Branch,Jl. Thamrin No. 46,Solo,Jawa Tengah,Central Java,Kartika Lestari,2017-07-24,Yes
BR036,LDR Denpasar,Sorting Center,Jl. Thamrin No. 40,Denpasar,Bali,Bali Nusra,Gita Saputra,06/05/2020,1
BR037,LDR Medan,Warehouse,Jl. Thamrin No. 56,Medan,Sumatera Utara,Sumatra,Hendra Maulana,2018/01/16,Active
BR038,LDR Palembang,Main Branch,Jl. Sudirman No. 39,Palembang,Sumatera Selatan,Sumatra,Eka Pratama,29-11-2021,Y
BR039,LDR Padang,Outlet,Jl. Diponegoro No. 65,Padang,Sumatera Barat,Sumatra,Gita Wulandari,Jul 27 2017,1
BR040,LDR Pekanbaru,Outlet,Jl. Thamrin No. 107,Pekanbaru,Riau,Sumatra,Dewi Putri,2020-05-10,Active
